Source.Name,Selection,View,Channel,Begin Time (s),End Time (s),Peak Freq (Hz),PFC Max Freq (Hz),PFC Min Freq (Hz),Avg Entropy (bits),Center Freq (Hz),BW 90% (Hz),first_pcf_value,last_pcf_value,Time_duration,Peak Freq Contour (Hz),High Freq (Hz),Low Freq (Hz),Species
AD_F054_ZOOM0006_Tr2.Table.1.selections.txt,3,Spectrogram 1,1,297.3043048,297.382992,4968.75,5625,4406.25,4.548,4968.75,3000,5625,4968.75,0.0786872,5625.000;5531.250;5343.750;5250.000;5156.250;4968.750;4875.000;5531.250;5343.750;4968.750;4406.250;4968.750;4968.750;4968.750,6566.87,2643.478,AD
AD_F054_ZOOM0006_Tr2.Table.1.selections.txt,4,Spectrogram 1,1,363.1388632,363.2746794,6375,6750,4687.5,4.075,5625,2156.25,4875,4875,0.1358162,4875.000;4687.500;4687.500;4875.000;4875.000;4875.000;4875.000;4875.000;5250.000;5250.000;6281.250;5062.500;4781.250;6750.000;6000.000;6187.500;4781.250;6375.000;5343.750;5343.750;4687.500;5156.250;5812.500;5531.250;4875.000,6847.907,4205.748,AD
AD_F054_ZOOM0006_Tr2.Table.1.selections.txt,6,Spectrogram 1,1,363.6778163,363.7683604,4593.75,4593.75,4406.25,2.684,4500,843.75,4406.25,4500,0.0905441,4406.250;4500.000;4500.000;4593.750;4593.750;4500.000;4593.750;4500.000;4500.000;4593.750;4500.000;4406.250;4500.000;4500.000;4500.000;4500.000,5126.256,3847.315,AD
AD_F054_ZOOM0006_Tr2.Table.1.selections.txt,7,Spectrogram 1,1,363.439599,363.4902606,4593.75,4781.25,3843.75,2.647,4500,1125,3843.75,4687.5,0.0506616,3843.750;4125.000;4312.500;4500.000;4593.750;4593.750;4687.500;4781.250;4687.500,4880.306,3207.844,AD
AD_F054_ZOOM0006_Tr2.Table.1.selections.txt,8,Spectrogram 1,1,363.3997165,363.4352874,4687.5,5250,4687.5,2.886,4781.25,937.5,4781.25,5250,0.0355709,4781.250;4687.500;4687.500;4687.500;5062.500;5250.000,5691.941,4314.62,AD
AFBB_F091_ZOOM0003_Tr2.Table.1.selections.txt,1,Spectrogram 1,1,390.4652201,390.5932688,3562.5,4593.75,2718.75,3.853,3656.25,2437.5,2718.75,4125,0.1280487,2718.750;2718.750;3375.000;3375.000;3937.500;3187.500;3000.000;3375.000;3375.000;3468.750;3468.750;3843.750;3562.500;3937.500;4593.750;4218.750;3468.750;4593.750;3750.000;3468.750;4031.250;3562.500;4125.000,5286.957,1739.13,AFBB
AFBB_F091_ZOOM0003_Tr2.Table.1.selections.txt,2,Spectrogram 1,1,394.1729765,394.2232813,4031.25,4031.25,2250,3.07,3656.25,1781.25,2250,4031.25,0.0503048,2250.000;2625.000;2625.000;3375.000;3937.500;4031.250;4031.250;4031.250,4452.174,2156.522,AFBB
AFBB_F091_ZOOM0003_Tr2.Table.1.selections.txt,3,Spectrogram 1,1,396.609422,396.6475318,3468.75,4218.75,2531.25,3.489,3281.25,1687.5,2531.25,4218.75,0.0381098,2531.250;2718.750;3093.750;3468.750;3656.250;4218.750,4626.087,1947.826,AFBB
AFBB_F091_ZOOM0003_Tr2.Table.1.selections.txt,4,Spectrogram 1,1,399.634722,399.6713074,3656.25,4312.5,2531.25,3.224,3281.25,1500,2531.25,4312.5,0.0365854,2531.250;2906.250;3281.250;3656.250;4125.000;4312.500,4695.652,2226.087,AFBB
AFBB_F091_ZOOM0003_Tr2.Table.1.selections.txt,5,Spectrogram 1,1,404.8094852,404.8548694,3281.25,4781.25,2625,3.382,3468.75,1687.5,2625,4781.25,0.0453842,2625.000;3000.000;3281.250;3281.250;3750.000;4031.250;3937.500;4781.250,4939.13,2608.696,AFBB
AFBB_F091_ZOOM0003_Tr2.Table.1.selections.txt,6,Spectrogram 1,1,408.3123746,408.3512466,3187.5,3468.75,2156.25,2.993,3281.25,1406.25,2156.25,3468.75,0.038872,2156.250;2531.250;2718.750;3187.500;3187.500;3468.750,4104.348,1808.696,AFBB
AFBB_F091_ZOOM0003_Tr2.Table.1.selections.txt,7,Spectrogram 1,1,419.5068883,419.556431,3656.25,3843.75,1875,3.079,3375,1312.5,1875,3843.75,0.0495427,1875.000;2531.250;2812.500;3093.750;3093.750;3656.250;3656.250;3843.750,4313.043,1391.304,AFBB
AFBB_F091_ZOOM0003_Tr2.Table.1.selections.txt,8,Spectrogram 1,1,484.3263103,484.3659444,3093.75,4031.25,2437.5,2.958,3187.5,1406.25,2437.5,4031.25,0.0396341,2437.500;3093.750;3093.750;3656.250;3750.000;4031.250,4278.261,1982.609,AFBB
AFBB_F091_ZOOM0003_Tr2.Table.1.selections.txt,9,Spectrogram 1,1,489.979459,490.0129955,3093.75,3468.75,2437.5,2.751,3093.75,1312.5,2437.5,3468.75,0.0335365,2437.500;2906.250;3093.750;3093.750;3468.750,3652.174,1808.696,AFBB
